ID_estudiante,Grupo,Facultad,Seccion,Seccion_area,Genero,Anio_nacimiento,Ciclo_academico,Experiencia_previa_IA,D1_01,D1_02,D1_03,D1_04,D1_05,D1_06,D2_01,D2_02,D2_03,D2_04,D2_05,D2_06,D3_01,D3_02,D3_03,D3_04,D3_05,D3_06,D3_07,D3_08,D4_01,D4_02,D4_03,D4_04,D4_05,D4_06,OBJ_D1_01,OBJ_D1_02,OBJ_D1_03,OBJ_D1_04,OBJ_D1_05,OBJ_D1_06,OBJ_D2_01,OBJ_D2_02,OBJ_D2_03,OBJ_D2_04,OBJ_D2_05,OBJ_D2_06,OBJ_D3_01,OBJ_D3_02,OBJ_D3_03,OBJ_D3_04,OBJ_D3_05,OBJ_D3_06,OBJ_D3_07,OBJ_D3_08,OBJ_D4_01,OBJ_D4_02,OBJ_D4_03,OBJ_D4_04,OBJ_D4_05,OBJ_D4_06,Tiempo,Score_conocimiento,Score_D1,Score_conocimiento_D1,Score_D2,Score_conocimiento_D2,Score_D3,Score_conocimiento_D3,Score_D4,Score_conocimiento_D4,Score_total_autopercepcion
50,Experimental,Educación,3,Social Sciences/Education,Femenino,2004,9,Ninguna,2,1,2,1,2,1,2,1,1,1,1,2,2,2,2,2,2,3,3,3,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,T0,1,1.5,0,1.33,0,2.38,1,1.67,0,1.77
51,Experimental,Arte y Humanidades,4,Social Sciences/Education,Femenino,1999,6,Ninguna,2,2,5,2,2,2,2,2,1,2,2,1,1,5,5,5,2,5,2,5,5,2,5,2,2,5,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,T0,10,2.5,2,1.67,1,3.75,4,3.5,3,2.92
52,Experimental,Ciencias,1,Engineering/Sciences,Femenino,2001,8,Avanzada,1,2,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,2,3,3,2,2,3,2,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,T0,5,1.17,1,1.0,1,2.62,3,2.17,0,1.81
53,Experimental,Educación,3,Social Sciences/Education,Femenino,2000,2,Básica,3,3,4,2,3,3,5,4,5,5,4,5,4,4,4,5,5,3,4,4,5,5,5,5,4,4,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,T0,19,3.0,1,4.67,6,4.12,7,4.67,5,4.12
54,Experimental,Arte y Humanidades,4,Social Sciences/Education,Masculino,2000,4,Básica,4,4,2,4,3,3,2,3,2,2,2,2,4,2,3,1,2,4,1,2,3,3,3,2,4,3,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,T0,12,3.33,3,2.17,2,2.38,3,3.0,4,2.69
55,Experimental,Arte y Humanidades,4,Social Sciences/Education,Femenino,2003,5,Básica,2,2,1,2,2,1,1,2,1,2,1,1,1,2,3,2,2,2,1,3,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,T0,3,1.67,1,1.33,0,2.0,2,1.5,0,1.65
56,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2005,4,Básica,4,4,3,4,4,5,1,2,2,1,2,2,4,4,3,4,5,4,4,3,1,2,2,2,2,2,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,T0,12,4.0,4,1.67,1,3.88,5,1.83,2,2.92
57,Experimental,Ciencias Sociales,4,Social Sciences/Education,Femenino,2004,8,Básica,3,2,1,2,2,2,2,2,1,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,T0,6,2.0,2,2.17,0,2.75,3,1.83,1,2.23
58,Experimental,Ingeniería,2,Engineering/Sciences,Femenino,1998,2,Ninguna,2,3,3,3,2,3,3,3,2,3,2,3,3,3,3,4,3,4,3,5,3,3,4,2,3,3,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,T0,9,2.67,2,2.67,1,3.5,4,3.0,2,3.0
59,Experimental,Ingeniería,2,Engineering/Sciences,Femenino,2000,7,Básica,3,3,3,3,2,3,1,1,2,2,1,1,4,4,3,4,5,5,5,5,3,3,3,4,2,4,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,T0,13,2.83,2,1.33,2,4.38,6,3.17,3,3.04
60,Experimental,Educación,3,Social Sciences/Education,Femenino,1999,9,Intermedia,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,2,2,2,2,2,1,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,T0,2,1.17,0,1.0,0,2.0,2,1.67,0,1.5
61,Experimental,Educación,3,Social Sciences/Education,Masculino,2004,4,Básica,1,2,2,3,2,1,1,2,2,1,1,1,4,3,4,3,4,3,3,1,2,3,2,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,T0,7,1.83,2,1.33,0,3.12,3,2.5,2,2.27
62,Experimental,Ciencias,1,Engineering/Sciences,Femenino,2000,4,Básica,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,3,2,1,3,2,1,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,T0,4,1.5,2,1.0,0,2.12,1,1.17,1,1.5
63,Experimental,Ingeniería,2,Engineering/Sciences,Femenino,2000,6,Básica,5,5,5,4,3,4,3,3,2,3,3,3,3,4,3,2,3,2,2,5,3,3,3,4,2,4,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,T0,14,4.33,5,2.83,2,3.0,4,3.17,3,3.31
64,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2004,7,Básica,5,5,3,4,3,4,4,4,3,4,3,3,2,2,2,3,2,3,3,3,3,2,3,3,2,2,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,T0,14,4.0,4,3.5,4,2.5,4,2.5,2,3.08
65,Experimental,Ciencias de la Salud,2,Engineering/Sciences,Femenino,2004,7,Básica,2,3,3,3,5,3,4,4,4,3,5,3,3,2,3,3,3,5,2,4,5,1,4,3,1,3,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,T0,12,3.17,2,3.83,5,3.12,3,2.83,2,3.23
66,Experimental,Ciencias Sociales,4,Social Sciences/Education,Femenino,2000,6,Básica,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,T0,3,1.0,1,1.17,0,1.12,2,1.0,0,1.08
67,Experimental,Arte y Humanidades,4,Social Sciences/Education,Femenino,2001,3,Avanzada,5,3,3,3,4,3,2,3,2,2,2,2,4,4,5,4,4,4,4,5,2,2,2,3,2,2,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,T0,12,3.5,3,2.17,1,4.25,7,2.17,1,3.12
68,Experimental,Ciencias,1,Engineering/Sciences,Femenino,2002,4,Ninguna,2,2,2,2,2,3,1,1,2,2,2,2,4,4,4,3,4,4,4,2,2,2,3,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,T0,8,2.17,1,1.67,1,3.62,4,2.0,2,2.46
